towerdb owner,identification - site key,identification - code,identification - fl,position - site name,identification - other mno fl,position - macro region,position - region,position - municipality,position - address,position - latitude,position - longitude,category - categorization by transmission sys (subcluster),category - categorization by site type,column1,category - categorisation by inhabitants,other - ownership,other - status,column2,column3,column4,column5,column6,column7,column8,column9,column10,lease contract - current annual lease fee,lease contract - lease contract comment,column11,column12,column13,column14,tenants - anchor,tenants - vf - ran sharing,tenants - vf - passive,tenants - wind - ran sharing,tenants - wind - passive,tenants - cosmote - passive,tenants - ran sharing tenants,tenants - passive tenants,tenants - non-mno tenants,tenants - non-mno tenant name,tenants - total tenants,column15,ee - no. of 24hr generators,ee - no. of standby generators,kpi - sites,kpi - tenants,msa - bts/replacement,msa - bts commitment site,column16,infrastructure type - technology,infrastructure type - fibre / microwave,infrastructure type - floor space,infrastructure type - tower height,column17,notified-97 (gr use only),changes (gr use only),msa - billing trigger stop date,other - indoor vs outdoor,skylon - category,msa - standard configuration,msa - construction type,msa - hub sites total mw diameter,bp - consolidated classification,msa - critical site,sensitive - due to,sensitive - description,sensitive - department,notified - department,notified - due to,msa - sensitive,msa - notified,notified - status,notified - details,msa - rectifier,msa - battery,msa - aircon,msa - revenue generating,msa - date of decommissioning,flag indicating bts site,msa - billing trigger date,msa - dg-shelter,msa - critical site in excess of the 15.5% cap,msa - form of active sharing,msa - start date for active sharing arrangement,msa - end date for active sharing arrangement,column18,msa - rfai date,msa - site acceptance date,msa - sub-lease reason,msa - sub-lease applies,msa - date of equipment removal (vf),msa - date of equipment removal (wh)
Vodafone,4308-3009464,4308,3009464,VARNALI & EPIDAVROU,,???????,??????? ????? ??????,??????????,????????? 53 & ????? ???????,38.02926111,23.80141111,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,4223.16,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4310-1004310,4310,1004310,??????-1,,???????,????????,????????,"????????????? 15 & ??????, ????????",37.94148611,23.64418333,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,2020.32,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,431-1000431,431,1000431,?.?????? - ?????,,?????? ???????,?????,??????,"????????? ???????????? 5, ?????",36.44892778,28.22316944,Macro,Rooftop,,Urban,Standalone,In Service,,,,,,,,,,9000,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g/3g/4g,Mw,5,3.13,,,,,Outdoor,RTT,Macro_3-Sector,Rooftop,,RTT,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,,Yes,,
Vodafone,4311-1004311,4311,1004311,?????? 2,,???????,????????,????????,?????? 120 ????????,37.93898611,23.64196111,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,4652.88,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,3/8/2021,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4315-1004315,4315,1004315,????????? 1 ????????,,???????,????????,????????,????????? 130 ????????,37.937875,23.64418333,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3729.6,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,4327-3008399,4327,3008399,NEA SMYRNI SQR-1,D33101,???????,?????? ????? ??????,???? ???????,??. ????????? 33 - ?. ??????,37.94954167,23.71696389,Micro,Micro,,Heavy Urban,Shared_VF_Own,In Service,,,,,,,,,,2899.44,,,,,,1,0,0,1,0,0,1,0,0,,2,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,MORAN,31/05/2021,,,,,Micro site,No,,
Vodafone,4328-3008247,4328,3008247,??.???? ???????. 2,,???????,?????? ????? ??????,???? ???????,25?? ??????? 4 ?. ??????,37.95009722,23.71335278,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,3059.52,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,Outdoor Small Cell Site,Outdoor Small Cell,Rooftop,,Outdoor Small Cell,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
Vodafone,433-1000433,433,1000433,????? ?????,S48006,?????? ???????,????????,?????,"????? ""???????????""",37.122,26.865925,Macro,Greenfield,,Rural,Shared_VF_Own,In Service,,,,,,,,,,5180,,,,,,1,0,0,1,0,0,1,0,0,,2,,0,1,1,1,,No,,2g/3g/4g,Mw,22.5,24,,,,,Indoor,GBT,Macro_3-Sector,Greenfield,,GBT,Yes,,,,,,No,No,,,Yes,Yes,Yes,1,,No,17/11/2020,No,No,MORAN,17/11/2020,,,,,,Yes,,
Vodafone,4331-3019139,4331,3019139,AGIOU ALEXANDROU 2 PALAIO FALIRO,,???????,?????? ????? ??????,??????? ???????,????? ?????????? 68 ?????? ?????? ?.? 17561,37.93093056,23.69557222,Micro,Micro,,Heavy Urban,Standalone,Planned,,,,,,,,,,3720.84,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,0,0,,No,,2g,Mw,,,,,,,,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,0,,Yes,9/9/9999,No,No,,,,,,,Micro site,No,,
Vodafone,4332-3018585,4332,3018585,???????? MICRO-?????? ??????,,???????,?????? ????? ??????,??????? ???????,A??????? 24 ?????? ?????? ?.? 17562,37.92305556,23.70055556,Micro,Micro,,Heavy Urban,Standalone,In Service,,,,,,,,,,4116.12,,,,,,1,0,0,0,0,0,0,0,0,,1,,0,0,1,1,,No,,2g,Mw,2.5,0.5,,,,,Indoor,RTT,Smaller Macro Site,Rooftop,,Smaller Macro Site,No,,,,,,No,No,,,No,No,No,1,,No,17/11/2020,No,No,,,,,,,Micro site,No,,
